"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
38, NCT04371276, Seroepidemiology of Viral Hepatitis in Hong Kong, , Enrolling by invitation, No Results Available, Viral Hepatitis, Other: No intervention, hepatitis B infection prevalence|hepatitis A immunity prevalence, Chinese University of Hong Kong, All, Child, Adult, Older Adult, , 3981, Other, Observational, Observational Model: Ecologic or Community|Time Perspective: Cross-Sectional, 17160962, September 1, 2018, July 31, 2021, May 31, 2022, May 1, 2020, , January 27, 2021, Prince of Wales Hospital, Hong Kong, Hong Kong, China, , https://ClinicalTrials.gov/show/NCT04371276
45, NCT00186836, Efficacy Study of Combined Hepatitis A and Hepatitis B Vaccine to Protect Against Hepatitis B in Hemodialysis Patients, , Completed, No Results Available, Hepatitis B, Biological: Engerix-B and Twinrix, Hepatitis B antibody response at month 7 (Significant antibody response defined as anti-HBs Ab greater than or equal to 10mIU/mL ).|Anti-HBs geometric mean response at 7 months.|Efficacy of Twinrix® in achieving seroprotection against HAV in hemodialysis patients(Significant antibody response defined as at least 20mIU/mL concentration of anti-HAV.)|Frequency of adverse events associated with vaccine administration, St. Joseph's Health Care London|St. Joseph's Healthcare Hamilton, All, 18 Years and older   (Adult, Older Adult), Phase 4, 200, Other, Interventional, Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single|Primary Purpose: Prevention, 2400, November 2004, , November 2006, September 16, 2005, , April 20, 2007, St. Joseph's Healthcare, Hamilton, Ontario, Canada, , https://ClinicalTrials.gov/show/NCT00186836
52, NCT01126853, Combination Hepatitis A and B Vaccine to Induce Immunity in Non-responders, , Withdrawn, No Results Available, Hepatitis B, Biological: Twinrix, Protective immunity to Hepatitis B|Adverse Events|Rate of Recruitment|Partial immunity to Hepatitis B, Mount Sinai Hospital, Canada|University of Toronto, All, 18 Years to 69 Years   (Adult, Older Adult), Phase 4, 0, Other, Interventional, Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention, MSH 09-0220-E|R09-15, April 2010, June 2011, July 2011, May 20, 2010, , June 1, 2020, Mount Sinai Hospital, Toronto, Ontario, Canada, , https://ClinicalTrials.gov/show/NCT01126853
76, NCT01159951, Analysis of Trends Over Time of Hepatitis Related Incidence in Panama, , Completed, No Results Available, Hepatitis, Other: Epidemiologic Surveillance System of the Ministry of Health of Panama, Occurrence of reported hepatitis related outcomes (viral hepatitis A and unspecified viral hepatitis)|Occurrence of hepatitis related outcomes (viral hepatitis A and unspecified viral hepatitis) by year|Occurrence of hepatitis related outcomes (viral hepatitis A and unspecified viral hepatitis) by age groups|Occurrence of hepatitis related outcomes (viral hepatitis A and unspecified viral hepatitis) by region, GlaxoSmithKline, All, Child, Adult, Older Adult, , 1, Industry, Observational, Observational Model: Other|Time Perspective: Retrospective, 112263, January 2009, August 2011, August 2011, July 12, 2010, , June 7, 2017, GSK Investigational Site, Clayton, Panamá, Panama, , https://ClinicalTrials.gov/show/NCT01159951
79, NCT01912404, Study of IDN-6556 in Patients With Severe Alcoholic Hepatitis and Contraindications to Steroid Therapy, AH, Terminated, Has Results, Alcoholic Hepatitis, Drug: IDN-6556|Drug: Placebo, Survival, Conatus Pharmaceuticals Inc.|National Institute on Alcohol Abuse and Alcoholism (NIAAA), All, 21 Years and older   (Adult, Older Adult), Phase 2, 5, Industry|NIH, Interventional, Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment, IDN-6556-04|5U01AA021788, July 2013, August 2015, August 2015, July 31, 2013, November 4, 2016, November 4, 2016, Indiana University, Indianapolis, Indiana, United States|Mayo Clinic, Rochester, Minnesota, United States|Virginia Commonwealth University, Richmond, Virginia, United States, , https://ClinicalTrials.gov/show/NCT01912404
91, NCT04600479, Study on the Prevalence of Hepatitis C In a psychiatRic Population, SaPHIR, Recruiting, No Results Available, Hepatitis C, Diagnostic Test: Evaluation of the prevalence of HCV, HBV and HIV viral infections, Estimation of the prevalence of chronic hepatitis C in a psychiatric population|Effectiveness of the care pathway of the HCV-infected patient|Prevalence of hepatitis C in a psychiatric population (cured hepatitis and chronic active hepatitis)|Prevalence of active hepatitis B in a psychiatric population|Prevalence of HIV in a psychiatric population|Prevalence of HCV-HBV-HIV co-infections in a psychiatric population|Prevalence of hepatitis C in the sub-population of IDU patients, Nantes University Hospital, All, 15 Years and older   (Child, Adult, Older Adult), Not Applicable, 796, Other, Interventional, Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other, RC20_0022, November 26, 2020, August 26, 2023, August 26, 2023, October 23, 2020, , December 1, 2020, CHU Nantes, Nantes, France, , https://ClinicalTrials.gov/show/NCT04600479
103, NCT00412763, Efficacy of Silymarin for Acute Hepatitis, , Completed, No Results Available, Hepatitis, Drug: Silymarin (Silybum marianum), Primary outcomes were symptoms and signs of acute hepatitis and results of liver function tests on days 3, 5 and 7 in the hospital and in the outpatient clinic at weeks 2, 4, and 8.|Side-effects and adverse events were ascertained by self-report on days 3, 5 and 7 in the hospital and in the outpatient clinic at weeks 2, 4, and 8. ., University of Maryland, College Park|University of Maryland, Baltimore, All, 13 Years to 70 Years   (Child, Adult, Older Adult), Phase 4, 200, Other, Interventional, Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment, H-21829, July 2003, , October 2005, December 18, 2006, , December 18, 2006, , , https://ClinicalTrials.gov/show/NCT00412763
172, NCT03149874, Accelerated Vaccination Schedule Against Hepatitis B Virus With Combined Hepatitis A and B Vaccine Among Hemodialysis Patients, , Completed, No Results Available, Hepatitis B|Hemodialysis Complication, Drug: Hepatitis B Vaccines, Hepatitis B virus Seroprotection after one month|Hepatitis B virus Seroprotection after three months|Fever|Pain scale, Benha University|New Jeddah Clinic Hospital, All, 19 Years and older   (Adult, Older Adult), Not Applicable, 114, Other|Industry, Interventional, Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Prevention, BN-0517, December 1, 2014, April 30, 2017, May 1, 2017, May 11, 2017, , May 11, 2017, , , https://ClinicalTrials.gov/show/NCT03149874
191, NCT01768715, Liver Transplantation in Alcoholic Hepatitis, SETH-HA, Suspended, No Results Available, Alcoholic Hepatitis, , Evaluate survival of patients with severe alcoholic hepatitis non responsive to therapy after liver transplantation|Evaluate the applicability of liver transplantation in patients with alcoholic hepatitis non responsive to steroid therapy|Evaluate the mortality in waiting list for transplantation of patients with alcoholic hepatitis unresponsive to steroid therapy|Evaluate the rate of alcohol recidivism after liver transplantation for alcoholic hepatitis|Evaluate survival of patients with alcoholic hepatitis after liver transplantation., Sociedad Española de Trasplante Hepático|Fundación Mutua Madrileña, All, 18 Years to 65 Years   (Adult, Older Adult), , 40, Other, Observational, Observational Model: Case-Control|Time Perspective: Prospective, SETH-HA, January 2013, December 2014, December 2017, January 15, 2013, , June 3, 2014, Hospital Central de Asturias, Oviedo, Asturias, Spain|Hospital Marqués de Valdecilla, Santander, Cantabria, Spain|Hospital Clínico Universitario de Santiago, Santiago de Compostela, La Coruña, Spain|Hospital Puerta de Hierro, Majadahonda, Madrid, Spain|Clínica Universidad de Navarra, Pamplona, Navarra, Spain|Hospital Vall d'Hebrón, Barcelona, Spain|Hospital Reina Sofía, Córdoba, Spain|Hospital Virgen de la Nieves, Granada, Spain|Complejo Hospitalario Universitario de la Coruña, La Coruña, Spain|Hospital Gregorio Marañón, Madrid, Spain|Hospital Ramón y Cajal, Madrid, Spain|Hospital Virgen de la Arrixaca, Murcia, Spain|Hospital Carlos Haya, Málaga, Spain|Hospital Virgen del Rocío, Sevilla, Spain|Hospital La Fe, Valencia, Spain|Hospital Río Hortega, Valladolid, Spain|Hospital Lozano Blesa, Zaragoza, Spain, , https://ClinicalTrials.gov/show/NCT01768715
257, NCT01102296, Effectiveness of Hepatitis A Virus Vaccination Among Homosexual Males at Risk for Hepatitis A Infection, , Completed, No Results Available, Hepatitis, Biological: Hepatitis A vaccine, the proportion of vaccinees who achieve anti-HAV antibody concentrations of 20 mIU/ml or greater at week 48 of vaccination|the concentrations of anti-HAV antibody at week 48 of vaccination, National Taiwan University Hospital, Male, 18 Years to 40 Years   (Adult), Not Applicable, 582, Other, Interventional, Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention, 200903063M, June 2009, March 2012, April 2012, April 13, 2010, , December 27, 2012, National Taiwan University Hospital, Taipei, Taiwan, , https://ClinicalTrials.gov/show/NCT01102296
269, NCT01980745, CHLOROQUINE FOR MAINTENANCE REMISSION OF AUTOIMMUNE HEPATITIS, , Completed, No Results Available, Hepatitis, Autoimmune, Drug: Chloroquine diphosphate 250mg|Drug: Placebo, Recurrence of autoimune hepatitis after treatment withdrawal in patients maintained only with chloroquine|Side effects of chloroquine, University of Sao Paulo General Hospital, All, 18 Years to 70 Years   (Adult, Older Adult), Phase 4, 61, Other, Interventional, Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment, CAPPesq 0697/07|0697/07, February 2002, November 2013, June 2015, November 11, 2013, , October 26, 2016, University of São Paulo School of Medicine, Sao Paulo, Brazil, , https://ClinicalTrials.gov/show/NCT01980745
